Sample,lat.,long.,altitute.m,depth.m,grain.min,grain.max,water.percent,se.water,U.ppm,se.U,Th.ppm,se.Th,K.percent,se.K,cosmicray,cosmic.err,internal,internal.err,external.alpha,external.alpha.err,external.beta,external.beta.err,external.gamma,external.gamma.err,external.total,external.total.err,Doserate_Gyka,err,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fineploymineral,LUM-2307,PM,0.879,0.181,1.879,0.2,1.146,0.112,0,0,0.035,0.012,,,0.174,0.017,0.035,0.012,,,,,,,4.077,0.293,4.113,0.293,,,,,,0.56,1.94,0.099,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,4,11,Brennanetal1991,Guerinetal2012-F,0,0,Bell1979,0.0747,0.0166,20,10,1.5,0.05,2,0.1,50.5,7.1,147,X,X,X,X,,,9.692,0.504,0.506,0.026,0.388,0.02,8.201,0.414,0.306,0.018,0.535,0.027,1.554,0.081,0.485,0.026,0,0,0,0,0,0,0,0,0,0,10.014,0.411,0.148,0.037,1,1,1,1,0.388,0.02,0.535,0.027,0.485,0.026,1.407,0.043,17.893,0.652,2.366,0.087,1.407,0.043,0,0,10.162,0.412,0.841,0.075,0.867,0.061,0.855,0.068,0.159,0.075,0.133,0.061,8.154,0.845,7.114,0.614,0,0,0,0,0,0,0.985,0.007,0.981,0.009,0.997,0.001,0.938,0.026,0.99,0.005,0.015,0.007,0.019,0.009,0.003,0.001,0.062,0.026,0.499,0.026,0.3,0.018,1.55,0.08,0,0,0,0,0,0,0,0,0.026,0.012,0.009,0.005,1,0,1,0,1,0,1,0,1,0,8.154,0.845,7.114,0.614,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.499,0.026,0.3,0.018,1.55,0.08,0,0,0,0,0,0,0.026,0.012,0.609,0.149,0.531,0.127,0,0,0,0,0,0,1.141,0.196,2.349,0.086,1.407,0.043,0.879,0.181,1.879,0.2,1.146,0.112,0,0,0.035,0.012,0.17,0.01,51.854,0.23,4.1,0.76,0.174,0.017,4.077,0.293,0.035,0.012,4.113,0.293,0,0
fineploymineral,LUM-2308,PM,1.067,0.22,1.942,0.206,1.29,0.126,0,0,0.035,0.012,,,0.121,0.012,0.035,0.012,,,,,,,4.419,0.327,4.455,0.327,,,,,,0.7,1.83,0.094,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,4,11,Brennanetal1991,Guerinetal2012-F,0,0,Bell1979,0.0747,0.0166,20,10,4.3,0.05,2,0.1,50.5,7.1,147,X,X,X,X,,,11.479,0.588,0.6,0.031,0.459,0.023,10.237,0.518,0.382,0.023,0.668,0.034,1.466,0.076,0.457,0.025,0,0,0,0,0,0,0,0,0,0,10.014,0.411,0.148,0.037,1,1,1,1,0.459,0.023,0.668,0.034,0.457,0.025,1.584,0.048,21.716,0.784,2.447,0.086,1.584,0.048,0,0,10.162,0.412,0.841,0.075,0.867,0.061,0.855,0.068,0.159,0.075,0.133,0.061,9.658,0.997,8.88,0.767,0,0,0,0,0,0,0.985,0.007,0.981,0.009,0.997,0.001,0.938,0.026,0.99,0.005,0.015,0.007,0.019,0.009,0.003,0.001,0.062,0.026,0.591,0.031,0.374,0.023,1.462,0.076,0,0,0,0,0,0,0,0,0.026,0.012,0.009,0.005,1,0,1,0,1,0,1,0,1,0,9.658,0.997,8.88,0.767,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.591,0.031,0.374,0.023,1.462,0.076,0,0,0,0,0,0,0.026,0.012,0.721,0.177,0.663,0.158,0,0,0,0,0,0,1.385,0.237,2.427,0.085,1.584,0.048,1.067,0.22,1.942,0.206,1.29,0.126,0,0,0.035,0.012,0.119,0.006,51.854,0.23,4.1,0.76,0.121,0.012,4.419,0.327,0.035,0.012,4.455,0.327,0,0
fineploymineral,LUM-2317,PM,0.962,0.198,1.851,0.196,1.199,0.117,0,0,0.035,0.012,,,0.092,0.009,0.035,0.012,,,,,,,4.105,0.303,4.14,0.303,,,,,,0.64,1.81,0.091,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,4,11,Brennanetal1991,Guerinetal2012-F,0,0,Bell1979,0.0747,0.0166,20,10,6.6,0.05,2,0.1,50.5,7.1,147,X,X,X,X,,,10.194,0.504,0.533,0.026,0.408,0.02,9.388,0.473,0.35,0.021,0.612,0.031,1.45,0.074,0.452,0.024,0,0,0,0,0,0,0,0,0,0,10.014,0.411,0.148,0.037,1,1,1,1,0.408,0.02,0.612,0.031,0.452,0.024,1.473,0.044,19.583,0.692,2.333,0.081,1.473,0.044,0,0,10.162,0.412,0.841,0.075,0.867,0.061,0.855,0.068,0.159,0.075,0.133,0.061,8.577,0.878,8.144,0.703,0,0,0,0,0,0,0.985,0.007,0.981,0.009,0.997,0.001,0.938,0.026,0.99,0.005,0.015,0.007,0.019,0.009,0.003,0.001,0.062,0.026,0.524,0.026,0.343,0.021,1.446,0.074,0,0,0,0,0,0,0,0,0.026,0.012,0.009,0.005,1,0,1,0,1,0,1,0,1,0,8.577,0.878,8.144,0.703,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.524,0.026,0.343,0.021,1.446,0.074,0,0,0,0,0,0,0.026,0.012,0.641,0.157,0.608,0.145,0,0,0,0,0,0,1.249,0.214,2.314,0.081,1.473,0.044,0.962,0.198,1.851,0.196,1.199,0.117,0,0,0.035,0.012,0.091,0.005,51.854,0.23,4.1,0.76,0.092,0.009,4.105,0.303,0.035,0.012,4.14,0.303,0,0
fineploymineral,LUM-2318,PM,0.875,0.18,1.793,0.191,1.138,0.111,0,0,0.035,0.012,,,0.068,0.007,0.035,0.012,,,,,,,3.874,0.285,3.909,0.285,,,,,,0.62,1.83,0.092,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,4,11,Brennanetal1991,Guerinetal2012-F,0,0,Bell1979,0.0747,0.0166,20,10,9.6,0.05,2,0.1,50.5,7.1,147,X,X,X,X,,,8.686,0.448,0.454,0.023,0.348,0.018,9.093,0.458,0.339,0.02,0.593,0.03,1.466,0.075,0.457,0.025,0,0,0,0,0,0,0,0,0,0,10.014,0.411,0.148,0.037,1,1,1,1,0.348,0.018,0.593,0.03,0.457,0.025,1.398,0.043,17.78,0.641,2.259,0.081,1.398,0.043,0,0,10.162,0.412,0.841,0.075,0.867,0.061,0.855,0.068,0.159,0.075,0.133,0.061,7.308,0.756,7.888,0.681,0,0,0,0,0,0,0.985,0.007,0.981,0.009,0.997,0.001,0.938,0.026,0.99,0.005,0.015,0.007,0.019,0.009,0.003,0.001,0.062,0.026,0.447,0.023,0.333,0.02,1.462,0.075,0,0,0,0,0,0,0,0,0.026,0.012,0.009,0.005,1,0,1,0,1,0,1,0,1,0,7.308,0.756,7.888,0.681,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.447,0.023,0.333,0.02,1.462,0.075,0,0,0,0,0,0,0.026,0.012,0.546,0.134,0.589,0.14,0,0,0,0,0,0,1.135,0.194,2.242,0.081,1.398,0.043,0.875,0.18,1.793,0.191,1.138,0.111,0,0,0.035,0.012,0.066,0.003,51.854,0.23,4.1,0.76,0.068,0.007,3.874,0.285,0.035,0.012,3.909,0.285,0,0
fineploymineral,LUM3703,PM,0.899,0.162,2.007,0.122,1.248,0.066,0,0,0.035,0.012,,,0.205,0.02,0.035,0.012,,,,,,,4.358,0.214,4.394,0.214,,,,,,0.43,2.16,0.1,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,4,11,Brennanetal1991,Guerinetal2012-F,0,0,Bell1979,0.0747,0.0166,20,5,1.1,0.05,2,0.1,37.71,109.42,1050,X,X,X,X,,,7.792,0.392,0.407,0.02,0.312,0.016,10.443,0.319,0.389,0.017,0.681,0.021,1.73,0.082,0.54,0.027,0,0,0,0,0,0,0,0,0,0,10.014,0.411,0.148,0.037,1,1,1,1,0.312,0.016,0.681,0.021,0.54,0.027,1.533,0.038,18.235,0.506,2.527,0.086,1.533,0.038,0,0,10.162,0.412,0.841,0.075,0.867,0.061,0.855,0.068,0.159,0.075,0.133,0.061,6.556,0.674,9.059,0.692,0,0,0,0,0,0,0.985,0.007,0.981,0.009,0.997,0.001,0.938,0.026,0.99,0.005,0.015,0.007,0.019,0.009,0.003,0.001,0.062,0.026,0.401,0.02,0.382,0.017,1.726,0.081,0,0,0,0,0,0,0,0,0.026,0.012,0.009,0.005,1,0,1,0,1,0,1,0,1,0,6.556,0.674,9.059,0.692,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.401,0.02,0.382,0.017,1.726,0.081,0,0,0,0,0,0,0.026,0.012,0.49,0.12,0.677,0.159,0,0,0,0,0,0,1.166,0.199,2.509,0.086,1.533,0.038,0.899,0.162,2.007,0.122,1.248,0.066,0,0,0.035,0.012,0.18,0.012,25.994,0.31,4.24,0.645,0.205,0.02,4.358,0.214,0.035,0.012,4.394,0.214,0,0
fineploymineral,LUM3704,PM,0.853,0.155,1.882,0.119,1.168,0.064,0,0,0.035,0.012,,,0.149,0.015,0.035,0.012,,,,,,,4.052,0.206,4.087,0.206,,,,,,0.4,1.92,0.09,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,4,11,Brennanetal1991,Guerinetal2012-F,0,0,Bell1979,0.0747,0.0166,15,5,3.5,0.05,2,0.1,37.71,109.42,1050,X,X,X,X,,,7.01,0.364,0.366,0.019,0.281,0.015,9.307,0.297,0.347,0.016,0.607,0.019,1.538,0.073,0.48,0.024,0,0,0,0,0,0,0,0,0,0,10.014,0.411,0.148,0.037,1,1,1,1,0.281,0.015,0.607,0.019,0.48,0.024,1.367,0.034,16.318,0.47,2.251,0.077,1.367,0.034,0,0,10.162,0.412,0.841,0.075,0.867,0.061,0.855,0.068,0.159,0.075,0.133,0.061,5.898,0.611,8.074,0.621,0,0,0,0,0,0,0.985,0.007,0.981,0.009,0.997,0.001,0.938,0.026,0.99,0.005,0.015,0.007,0.019,0.009,0.003,0.001,0.062,0.026,0.361,0.019,0.34,0.016,1.534,0.073,0,0,0,0,0,0,0,0,0.026,0.012,0.009,0.005,1,0,1,0,1,0,1,0,1,0,5.898,0.611,8.074,0.621,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.361,0.019,0.34,0.016,1.534,0.073,0,0,0,0,0,0,0.026,0.012,0.441,0.108,0.603,0.142,0,0,0,0,0,0,1.044,0.178,2.235,0.077,1.367,0.034,0.853,0.155,1.882,0.119,1.168,0.064,0,0,0.035,0.012,0.131,0.007,25.994,0.31,4.24,0.645,0.149,0.015,4.052,0.206,0.035,0.012,4.087,0.206,0,0
fineploymineral,LUM3705,PM,0.979,0.175,2.105,0.126,1.316,0.069,0,0,0.035,0.012,,,0.075,0.008,0.035,0.012,,,,,,,4.475,0.227,4.51,0.227,,,,,,0.44,2.21,0.1,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,4,11,Brennanetal1991,Guerinetal2012-F,0,0,Bell1979,0.0747,0.0166,20,5,9.6,0.05,2,0.1,37.71,109.42,1050,X,X,X,X,,,9.245,0.448,0.483,0.023,0.37,0.018,10.642,0.327,0.397,0.018,0.694,0.021,1.77,0.082,0.552,0.027,0,0,0,0,0,0,0,0,0,0,10.014,0.411,0.148,0.037,1,1,1,1,0.37,0.018,0.694,0.021,0.552,0.027,1.616,0.039,19.887,0.555,2.65,0.087,1.616,0.039,0,0,10.162,0.412,0.841,0.075,0.867,0.061,0.855,0.068,0.159,0.075,0.133,0.061,7.778,0.793,9.232,0.706,0,0,0,0,0,0,0.985,0.007,0.981,0.009,0.997,0.001,0.938,0.026,0.99,0.005,0.015,0.007,0.019,0.009,0.003,0.001,0.062,0.026,0.476,0.023,0.389,0.018,1.766,0.082,0,0,0,0,0,0,0,0,0.026,0.012,0.009,0.005,1,0,1,0,1,0,1,0,1,0,7.778,0.793,9.232,0.706,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.476,0.023,0.389,0.018,1.766,0.082,0,0,0,0,0,0,0.026,0.012,0.581,0.142,0.69,0.162,0,0,0,0,0,0,1.271,0.216,2.631,0.087,1.616,0.039,0.979,0.175,2.105,0.126,1.316,0.069,0,0,0.035,0.012,0.066,0.003,25.994,0.31,4.24,0.645,0.075,0.008,4.475,0.227,0.035,0.012,4.51,0.227,0,0
fineploymineral,LUM3706,PM,0.703,0.127,1.536,0.099,0.946,0.053,0,0,0.035,0.012,,,0.061,0.006,0.035,0.012,,,,,,,3.246,0.17,3.282,0.17,,,,,,0.32,1.55,0.08,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,4,11,Brennanetal1991,Guerinetal2012-F,0,0,Bell1979,0.0747,0.0166,15,5,11.9,0.05,2,0.1,37.71,109.42,1050,X,X,X,X,,,6.256,0.336,0.327,0.018,0.25,0.013,7.213,0.237,0.269,0.012,0.47,0.016,1.242,0.065,0.387,0.021,0,0,0,0,0,0,0,0,0,0,10.014,0.411,0.148,0.037,1,1,1,1,0.25,0.013,0.47,0.016,0.387,0.021,1.108,0.03,13.469,0.411,1.837,0.069,1.108,0.03,0,0,10.162,0.412,0.841,0.075,0.867,0.061,0.855,0.068,0.159,0.075,0.133,0.061,5.264,0.55,6.257,0.484,0,0,0,0,0,0,0.985,0.007,0.981,0.009,0.997,0.001,0.938,0.026,0.99,0.005,0.015,0.007,0.019,0.009,0.003,0.001,0.062,0.026,0.322,0.017,0.264,0.012,1.238,0.065,0,0,0,0,0,0,0,0,0.026,0.012,0.009,0.005,1,0,1,0,1,0,1,0,1,0,5.264,0.55,6.257,0.484,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.322,0.017,0.264,0.012,1.238,0.065,0,0,0,0,0,0,0.026,0.012,0.393,0.097,0.467,0.11,0,0,0,0,0,0,0.861,0.146,1.824,0.068,1.108,0.03,0.703,0.127,1.536,0.099,0.946,0.053,0,0,0.035,0.012,0.053,0.003,25.994,0.31,4.24,0.645,0.061,0.006,3.246,0.17,0.035,0.012,3.282,0.17,0,0
fineploymineral,LUM3707,PM,0.906,0.164,1.956,0.119,1.247,0.065,0,0,0.035,0.012,,,0.036,0.004,0.035,0.012,,,,,,,4.145,0.213,4.18,0.214,,,,,,0.45,2.08,0.1,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,4,11,Brennanetal1991,Guerinetal2012-F,0,0,Bell1979,0.0747,0.0166,20,5,18.3,0.05,2,0.1,37.71,109.42,1050,X,X,X,X,,,7.429,0.364,0.388,0.019,0.297,0.015,10.945,0.334,0.408,0.018,0.714,0.022,1.666,0.082,0.52,0.027,0,0,0,0,0,0,0,0,0,0,10.014,0.411,0.148,0.037,1,1,1,1,0.297,0.015,0.714,0.022,0.52,0.027,1.531,0.038,18.374,0.494,2.462,0.086,1.531,0.038,0,0,10.162,0.412,0.841,0.075,0.867,0.061,0.855,0.068,0.159,0.075,0.133,0.061,6.251,0.639,9.494,0.725,0,0,0,0,0,0,0.985,0.007,0.981,0.009,0.997,0.001,0.938,0.026,0.99,0.005,0.015,0.007,0.019,0.009,0.003,0.001,0.062,0.026,0.382,0.019,0.4,0.018,1.662,0.081,0,0,0,0,0,0,0,0,0.026,0.012,0.009,0.005,1,0,1,0,1,0,1,0,1,0,6.251,0.639,9.494,0.725,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.382,0.019,0.4,0.018,1.662,0.081,0,0,0,0,0,0,0.026,0.012,0.467,0.114,0.709,0.167,0,0,0,0,0,0,1.176,0.202,2.444,0.085,1.531,0.038,0.906,0.164,1.956,0.119,1.247,0.065,0,0,0.035,0.012,0.032,0.002,25.994,0.31,4.24,0.645,0.036,0.004,4.145,0.213,0.035,0.012,4.18,0.214,0,0
fineploymineral,LUM3708,PM,0.891,0.16,1.803,0.115,1.141,0.063,0,0,0.035,0.012,,,0.028,0.003,0.035,0.012,,,,,,,3.863,0.207,3.899,0.207,,,,,,0.37,1.74,0.09,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,4,11,Brennanetal1991,Guerinetal2012-F,0,0,Bell1979,0.0747,0.0166,15,5,22.2,0.05,2,0.1,37.71,109.42,1050,X,X,X,X,,,8.435,0.392,0.441,0.02,0.338,0.016,8.651,0.275,0.323,0.015,0.564,0.018,1.394,0.073,0.435,0.024,0,0,0,0,0,0,0,0,0,0,10.014,0.411,0.148,0.037,1,1,1,1,0.338,0.016,0.564,0.018,0.435,0.024,1.337,0.034,17.086,0.479,2.157,0.077,1.337,0.034,0,0,10.162,0.412,0.841,0.075,0.867,0.061,0.855,0.068,0.159,0.075,0.133,0.061,7.097,0.717,7.504,0.577,0,0,0,0,0,0,0.985,0.007,0.981,0.009,0.997,0.001,0.938,0.026,0.99,0.005,0.015,0.007,0.019,0.009,0.003,0.001,0.062,0.026,0.434,0.02,0.316,0.015,1.39,0.073,0,0,0,0,0,0,0,0,0.026,0.012,0.009,0.005,1,0,1,0,1,0,1,0,1,0,7.097,0.717,7.504,0.577,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.434,0.02,0.316,0.015,1.39,0.073,0,0,0,0,0,0,0.026,0.012,0.53,0.129,0.561,0.132,0,0,0,0,0,0,1.091,0.185,2.141,0.077,1.337,0.034,0.891,0.16,1.803,0.115,1.141,0.063,0,0,0.035,0.012,0.025,0.001,25.994,0.31,4.24,0.645,0.028,0.003,3.863,0.207,0.035,0.012,3.899,0.207,0,0
fineploymineral,LUM3709,PM,0.881,0.16,1.834,0.111,1.194,0.063,0,0,0.035,0.012,,,0.025,0.002,0.035,0.012,,,,,,,3.934,0.205,3.97,0.205,,,,,,0.44,1.92,0.09,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,4,11,Brennanetal1991,Guerinetal2012-F,0,0,Bell1979,0.0747,0.0166,20,5,24.2,0.05,2,0.1,37.71,109.42,1050,X,X,X,X,,,7.066,0.364,0.369,0.019,0.283,0.015,10.797,0.327,0.403,0.018,0.704,0.021,1.538,0.073,0.48,0.024,0,0,0,0,0,0,0,0,0,0,10.014,0.411,0.148,0.037,1,1,1,1,0.283,0.015,0.704,0.021,0.48,0.024,1.467,0.035,17.863,0.489,2.31,0.078,1.467,0.035,0,0,10.162,0.412,0.841,0.075,0.867,0.061,0.855,0.068,0.159,0.075,0.133,0.061,5.945,0.615,9.366,0.714,0,0,0,0,0,0,0.985,0.007,0.981,0.009,0.997,0.001,0.938,0.026,0.99,0.005,0.015,0.007,0.019,0.009,0.003,0.001,0.062,0.026,0.364,0.019,0.395,0.018,1.534,0.073,0,0,0,0,0,0,0,0,0.026,0.012,0.009,0.005,1,0,1,0,1,0,1,0,1,0,5.945,0.615,9.366,0.714,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.364,0.019,0.395,0.018,1.534,0.073,0,0,0,0,0,0,0.026,0.012,0.444,0.109,0.7,0.164,0,0,0,0,0,0,1.144,0.197,2.293,0.078,1.467,0.035,0.881,0.16,1.834,0.111,1.194,0.063,0,0,0.035,0.012,0.022,0.001,25.994,0.31,4.24,0.645,0.025,0.002,3.934,0.205,0.035,0.012,3.97,0.205,0,0
fineploymineral,LUM3710,PM,0.862,0.156,1.828,0.116,1.145,0.063,0,0,0.035,0.012,,,0.021,0.002,0.035,0.012,,,,,,,3.857,0.204,3.892,0.205,,,,,,0.38,1.82,0.09,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,4,11,Brennanetal1991,Guerinetal2012-F,0,0,Bell1979,0.0747,0.0166,15,5,26.6,0.05,2,0.1,37.71,109.42,1050,X,X,X,X,,,7.597,0.392,0.397,0.02,0.304,0.016,8.916,0.282,0.332,0.015,0.582,0.018,1.458,0.073,0.455,0.024,0,0,0,0,0,0,0,0,0,0,10.014,0.411,0.148,0.037,1,1,1,1,0.304,0.016,0.582,0.018,0.455,0.024,1.34,0.034,16.513,0.483,2.187,0.078,1.34,0.034,0,0,10.162,0.412,0.841,0.075,0.867,0.061,0.855,0.068,0.159,0.075,0.133,0.061,6.392,0.661,7.735,0.594,0,0,0,0,0,0,0.985,0.007,0.981,0.009,0.997,0.001,0.938,0.026,0.99,0.005,0.015,0.007,0.019,0.009,0.003,0.001,0.062,0.026,0.391,0.02,0.326,0.015,1.454,0.073,0,0,0,0,0,0,0,0,0.026,0.012,0.009,0.005,1,0,1,0,1,0,1,0,1,0,6.392,0.661,7.735,0.594,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.391,0.02,0.326,0.015,1.454,0.073,0,0,0,0,0,0,0.026,0.012,0.477,0.117,0.578,0.136,0,0,0,0,0,0,1.055,0.179,2.171,0.077,1.34,0.034,0.862,0.156,1.828,0.116,1.145,0.063,0,0,0.035,0.012,0.019,0.001,25.994,0.31,4.24,0.645,0.021,0.002,3.857,0.204,0.035,0.012,3.892,0.205,0,0
fineploymineral,LUM3711,PM,0.901,0.162,1.808,0.115,1.139,0.063,0,0,0.035,0.012,,,0.016,0.002,0.035,0.012,,,,,,,3.863,0.209,3.899,0.209,,,,,,0.36,1.73,0.09,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,4,11,Brennanetal1991,Guerinetal2012-F,0,0,Bell1979,0.0747,0.0166,15,5,32.5,0.05,2,0.1,37.71,109.42,1050,X,X,X,X,,,8.91,0.42,0.465,0.022,0.357,0.017,8.363,0.267,0.312,0.014,0.545,0.017,1.386,0.073,0.432,0.024,0,0,0,0,0,0,0,0,0,0,10.014,0.411,0.148,0.037,1,1,1,1,0.357,0.017,0.545,0.017,0.432,0.024,1.334,0.034,17.273,0.498,2.163,0.078,1.334,0.034,0,0,10.162,0.412,0.841,0.075,0.867,0.061,0.855,0.068,0.159,0.075,0.133,0.061,7.496,0.759,7.255,0.558,0,0,0,0,0,0,0.985,0.007,0.981,0.009,0.997,0.001,0.938,0.026,0.99,0.005,0.015,0.007,0.019,0.009,0.003,0.001,0.062,0.026,0.458,0.022,0.306,0.014,1.382,0.073,0,0,0,0,0,0,0,0,0.026,0.012,0.009,0.005,1,0,1,0,1,0,1,0,1,0,7.496,0.759,7.255,0.558,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.458,0.022,0.306,0.014,1.382,0.073,0,0,0,0,0,0,0.026,0.012,0.56,0.137,0.542,0.127,0,0,0,0,0,0,1.102,0.187,2.147,0.078,1.334,0.034,0.901,0.162,1.808,0.115,1.139,0.063,0,0,0.035,0.012,0.014,0.001,25.994,0.31,4.24,0.645,0.016,0.002,3.863,0.209,0.035,0.012,3.899,0.209,0,0
fineploymineral,LUM3712,PM,0.868,0.157,1.778,0.114,1.145,0.063,0,0,0.035,0.012,,,0.01,0.001,0.035,0.012,,,,,,,3.8,0.204,3.836,0.205,,,,,,0.4,1.75,0.09,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,4,11,Brennanetal1991,Guerinetal2012-F,0,0,Bell1979,0.0747,0.0166,15,5,42.6,0.05,2,0.1,37.71,109.42,1050,X,X,X,X,,,7.122,0.364,0.372,0.019,0.285,0.015,9.477,0.297,0.353,0.016,0.618,0.019,1.402,0.073,0.437,0.024,0,0,0,0,0,0,0,0,0,0,10.014,0.411,0.148,0.037,1,1,1,1,0.285,0.015,0.618,0.019,0.437,0.024,1.34,0.034,16.599,0.47,2.127,0.077,1.34,0.034,0,0,10.162,0.412,0.841,0.075,0.867,0.061,0.855,0.068,0.159,0.075,0.133,0.061,5.992,0.618,8.221,0.631,0,0,0,0,0,0,0.985,0.007,0.981,0.009,0.997,0.001,0.938,0.026,0.99,0.005,0.015,0.007,0.019,0.009,0.003,0.001,0.062,0.026,0.366,0.019,0.347,0.016,1.398,0.073,0,0,0,0,0,0,0,0,0.026,0.012,0.009,0.005,1,0,1,0,1,0,1,0,1,0,5.992,0.618,8.221,0.631,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.366,0.019,0.347,0.016,1.398,0.073,0,0,0,0,0,0,0.026,0.012,0.448,0.11,0.614,0.144,0,0,0,0,0,0,1.062,0.181,2.111,0.077,1.34,0.034,0.868,0.157,1.778,0.114,1.145,0.063,0,0,0.035,0.012,0.009,0,25.994,0.31,4.24,0.645,0.01,0.001,3.8,0.204,0.035,0.012,3.836,0.205,0,0
fineploymineral,LUM3713,PM,0.83,0.15,1.741,0.112,1.103,0.061,0,0,0.035,0.012,,,0.006,0.001,0.035,0.012,,,,,,,3.681,0.197,3.716,0.198,,,,,,0.38,1.73,0.09,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,4,11,Brennanetal1991,Guerinetal2012-F,0,0,Bell1979,0.0747,0.0166,15,5,56.4,0.05,2,0.1,37.71,109.42,1050,X,X,X,X,,,7.01,0.364,0.366,0.019,0.281,0.015,8.88,0.282,0.331,0.015,0.579,0.018,1.386,0.073,0.432,0.024,0,0,0,0,0,0,0,0,0,0,10.014,0.411,0.148,0.037,1,1,1,1,0.281,0.015,0.579,0.018,0.432,0.024,1.292,0.034,15.89,0.461,2.083,0.077,1.292,0.034,0,0,10.162,0.412,0.841,0.075,0.867,0.061,0.855,0.068,0.159,0.075,0.133,0.061,5.898,0.611,7.703,0.592,0,0,0,0,0,0,0.985,0.007,0.981,0.009,0.997,0.001,0.938,0.026,0.99,0.005,0.015,0.007,0.019,0.009,0.003,0.001,0.062,0.026,0.361,0.019,0.325,0.015,1.382,0.073,0,0,0,0,0,0,0,0,0.026,0.012,0.009,0.005,1,0,1,0,1,0,1,0,1,0,5.898,0.611,7.703,0.592,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.361,0.019,0.325,0.015,1.382,0.073,0,0,0,0,0,0,0.026,0.012,0.441,0.108,0.575,0.135,0,0,0,0,0,0,1.016,0.173,2.068,0.077,1.292,0.034,0.83,0.15,1.741,0.112,1.103,0.061,0,0,0.035,0.012,0.005,0,25.994,0.31,4.24,0.645,0.006,0.001,3.681,0.197,0.035,0.012,3.716,0.198,0,0
